path,label
/home/xbgydx/Desktop/UCFClipFeatures/Abuse/Abuse028_x264__5.npy,Abuse
/home/xbgydx/Desktop/UCFClipFeatures/Abuse/Abuse030_x264__5.npy,Abuse
/home/xbgydx/Desktop/UCFClipFeatures/Arrest/Arrest001_x264__5.npy,Arrest
/home/xbgydx/Desktop/UCFClipFeatures/Arrest/Arrest007_x264__5.npy,Arrest
/home/xbgydx/Desktop/UCFClipFeatures/Arrest/Arrest024_x264__5.npy,Arrest
/home/xbgydx/Desktop/UCFClipFeatures/Arrest/Arrest030_x264__5.npy,Arrest
/home/xbgydx/Desktop/UCFClipFeatures/Arrest/Arrest039_x264__5.npy,Arrest
/home/xbgydx/Desktop/UCFClipFeatures/Arson/Arson007_x264__5.npy,Arson
/home/xbgydx/Desktop/UCFClipFeatures/Arson/Arson009_x264__5.npy,Arson
/home/xbgydx/Desktop/UCFClipFeatures/Arson/Arson010_x264__5.npy,Arson
/home/xbgydx/Desktop/UCFClipFeatures/Arson/Arson011_x264__5.npy,Arson
/home/xbgydx/Desktop/UCFClipFeatures/Arson/Arson016_x264__5.npy,Arson
/home/xbgydx/Desktop/UCFClipFeatures/Arson/Arson018_x264__5.npy,Arson
/home/xbgydx/Desktop/UCFClipFeatures/Arson/Arson022_x264__5.npy,Arson
/home/xbgydx/Desktop/UCFClipFeatures/Arson/Arson035_x264__5.npy,Arson
/home/xbgydx/Desktop/UCFClipFeatures/Arson/Arson041_x264__5.npy,Arson
/home/xbgydx/Desktop/UCFClipFeatures/Assault/Assault006_x264__5.npy,Assault
/home/xbgydx/Desktop/UCFClipFeatures/Assault/Assault010_x264__5.npy,Assault
/home/xbgydx/Desktop/UCFClipFeatures/Assault/Assault011_x264__5.npy,Assault
/home/xbgydx/Desktop/UCFClipFeatures/Burglary/Burglary005_x264__5.npy,Burglary
/home/xbgydx/Desktop/UCFClipFeatures/Burglary/Burglary017_x264__5.npy,Burglary
/home/xbgydx/Desktop/UCFClipFeatures/Burglary/Burglary018_x264__5.npy,Burglary
/home/xbgydx/Desktop/UCFClipFeatures/Burglary/Burglary021_x264__5.npy,Burglary
/home/xbgydx/Desktop/UCFClipFeatures/Burglary/Burglary024_x264__5.npy,Burglary
/home/xbgydx/Desktop/UCFClipFeatures/Burglary/Burglary032_x264__5.npy,Burglary
/home/xbgydx/Desktop/UCFClipFeatures/Burglary/Burglary033_x264__5.npy,Burglary
/home/xbgydx/Desktop/UCFClipFeatures/Burglary/Burglary035_x264__5.npy,Burglary
/home/xbgydx/Desktop/UCFClipFeatures/Burglary/Burglary037_x264__5.npy,Burglary
/home/xbgydx/Desktop/UCFClipFeatures/Burglary/Burglary061_x264__5.npy,Burglary
/home/xbgydx/Desktop/UCFClipFeatures/Burglary/Burglary076_x264__5.npy,Burglary
/home/xbgydx/Desktop/UCFClipFeatures/Burglary/Burglary079_x264__5.npy,Burglary
/home/xbgydx/Desktop/UCFClipFeatures/Burglary/Burglary092_x264__5.npy,Burglary
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion002_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion004_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion007_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion008_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion010_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion011_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion013_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion016_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion017_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion020_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion021_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion022_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion025_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion027_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion028_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion029_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion033_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion035_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion036_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion039_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Explosion/Explosion043_x264__5.npy,Explosion
/home/xbgydx/Desktop/UCFClipFeatures/Fighting/Fighting003_x264__5.npy,Fighting
/home/xbgydx/Desktop/UCFClipFeatures/Fighting/Fighting018_x264__5.npy,Fighting
/home/xbgydx/Desktop/UCFClipFeatures/Fighting/Fighting033_x264__5.npy,Fighting
/home/xbgydx/Desktop/UCFClipFeatures/Fighting/Fighting042_x264__5.npy,Fighting
/home/xbgydx/Desktop/UCFClipFeatures/Fighting/Fighting047_x264__5.npy,Fighting
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents001_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents002_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents004_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents009_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents010_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents011_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents012_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents016_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents017_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents019_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents020_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents021_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents022_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents121_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents122_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents123_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents124_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents125_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents127_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents128_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents131_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents132_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/RoadAccidents/RoadAccidents133_x264__5.npy,RoadAccidents
/home/xbgydx/Desktop/UCFClipFeatures/Robbery/Robbery048_x264__5.npy,Robbery
/home/xbgydx/Desktop/UCFClipFeatures/Robbery/Robbery050_x264__5.npy,Robbery
/home/xbgydx/Desktop/UCFClipFeatures/Robbery/Robbery102_x264__5.npy,Robbery
/home/xbgydx/Desktop/UCFClipFeatures/Robbery/Robbery106_x264__5.npy,Robbery
/home/xbgydx/Desktop/UCFClipFeatures/Robbery/Robbery137_x264__5.npy,Robbery
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting002_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting004_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting007_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting008_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting010_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting011_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting013_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting015_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting018_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting019_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting021_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting022_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting024_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting026_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting028_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting032_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting033_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting034_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting037_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting043_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting046_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting047_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shooting/Shooting048_x264__5.npy,Shooting
/home/xbgydx/Desktop/UCFClipFeatures/Shoplifting/Shoplifting001_x264__5.npy,Shoplifting
/home/xbgydx/Desktop/UCFClipFeatures/Shoplifting/Shoplifting004_x264__5.npy,Shoplifting
/home/xbgydx/Desktop/UCFClipFeatures/Shoplifting/Shoplifting005_x264__5.npy,Shoplifting
/home/xbgydx/Desktop/UCFClipFeatures/Shoplifting/Shoplifting007_x264__5.npy,Shoplifting
/home/xbgydx/Desktop/UCFClipFeatures/Shoplifting/Shoplifting010_x264__5.npy,Shoplifting
/home/xbgydx/Desktop/UCFClipFeatures/Shoplifting/Shoplifting015_x264__5.npy,Shoplifting
/home/xbgydx/Desktop/UCFClipFeatures/Shoplifting/Shoplifting016_x264__5.npy,Shoplifting
/home/xbgydx/Desktop/UCFClipFeatures/Shoplifting/Shoplifting017_x264__5.npy,Shoplifting
/home/xbgydx/Desktop/UCFClipFeatures/Shoplifting/Shoplifting020_x264__5.npy,Shoplifting
/home/xbgydx/Desktop/UCFClipFeatures/Shoplifting/Shoplifting021_x264__5.npy,Shoplifting
/home/xbgydx/Desktop/UCFClipFeatures/Shoplifting/Shoplifting022_x264__5.npy,Shoplifting
