path,label
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__1.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__2.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__3.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__4.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__5.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__6.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__7.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__8.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__9.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__1.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__2.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__3.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__4.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__5.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__6.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__7.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__8.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__9.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__1.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__2.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__3.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__4.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__5.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__6.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__7.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__8.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__9.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__1.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__2.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__3.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__4.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__5.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__6.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__7.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__8.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__9.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__1.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__2.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__3.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__4.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__5.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__6.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__7.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__8.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__9.npy,B1-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6__0.npy,B2-G-B6
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6__1.npy,B2-G-B6
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6__2.npy,B2-G-B6
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6__3.npy,B2-G-B6
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6__4.npy,B2-G-B6
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6__5.npy,B2-G-B6
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6__6.npy,B2-G-B6
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6__7.npy,B2-G-B6
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6__8.npy,B2-G-B6
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-44-40_01-49-20_label_B2-G-B6__9.npy,B2-G-B6
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__1.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__2.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__3.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__4.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__5.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__6.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__7.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__8.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__9.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-27-29_00-30-13_label_B6-B2-0__0.npy,B6-B2-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-27-29_00-30-13_label_B6-B2-0__1.npy,B6-B2-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-27-29_00-30-13_label_B6-B2-0__2.npy,B6-B2-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-27-29_00-30-13_label_B6-B2-0__3.npy,B6-B2-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-27-29_00-30-13_label_B6-B2-0__4.npy,B6-B2-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-27-29_00-30-13_label_B6-B2-0__5.npy,B6-B2-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-27-29_00-30-13_label_B6-B2-0__6.npy,B6-B2-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-27-29_00-30-13_label_B6-B2-0__7.npy,B6-B2-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-27-29_00-30-13_label_B6-B2-0__8.npy,B6-B2-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-27-29_00-30-13_label_B6-B2-0__9.npy,B6-B2-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-30-16_00-36-53_label_B2-B6-G__0.npy,B2-B6-G
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-30-16_00-36-53_label_B2-B6-G__1.npy,B2-B6-G
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-30-16_00-36-53_label_B2-B6-G__2.npy,B2-B6-G
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-30-16_00-36-53_label_B2-B6-G__3.npy,B2-B6-G
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-30-16_00-36-53_label_B2-B6-G__4.npy,B2-B6-G
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-30-16_00-36-53_label_B2-B6-G__5.npy,B2-B6-G
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-30-16_00-36-53_label_B2-B6-G__6.npy,B2-B6-G
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-30-16_00-36-53_label_B2-B6-G__7.npy,B2-B6-G
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-30-16_00-36-53_label_B2-B6-G__8.npy,B2-B6-G
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-30-16_00-36-53_label_B2-B6-G__9.npy,B2-B6-G
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__1.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__2.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__3.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__4.npy,B2-0-0
/home/xbgydx/Desktop/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__5.npy,B2-0-0
