path,label
/home/xbgydx/Desktop/XDTestClipFeatures/Bad.Boys.1995__#01-11-55_01-12-40_label_G-B2-B6__0.npy,G-B2-B6
/home/xbgydx/Desktop/XDTestClipFeatures/Bad.Boys.1995__#01-33-51_01-34-37_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Bad.Boys.II.2003__#00-06-42_00-10-00_label_B2-G-0__0.npy,B2-G-0
/home/xbgydx/Desktop/XDTestClipFeatures/Black.Hawk.Down.2001__#01-13-59_01-14-49_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Black.Hawk.Down.2001__#01-32-40_01-34-00_label_B4-0-0__0.npy,B4-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Black.Hawk.Down.2001__#01-42-58_01-43-58_label_G-0-0__0.npy,G-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Black.Hawk.Down.2001__#02-00-12_02-01-29_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Braveheart.1995__#00-56-30_00-57-20_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Braveheart.1995__#01-26-50_01-32-30_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Braveheart.1995__#02-05-34_02-06-40_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Braveheart.1995__#02-07-00_02-08-15_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Brick.Mansions.2014__#00-11-57_00-12-12_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Brick.Mansions.2014__#00-16-26_00-17-12_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Brick.Mansions.2014__#00-41-25_00-42-36_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Brick.Mansions.2014__#01-02-00_01-02-43_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Bullet.in.the.Head.1990__#00-17-20_00-18-55_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Bullet.in.the.Head.1990__#00-23-31_00-24-40_label_G-0-0__0.npy,G-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Bullet.in.the.Head.1990__#00-41-30_00-44-16_label_B4-G-0__0.npy,B4-G-0
/home/xbgydx/Desktop/XDTestClipFeatures/Bullet.in.the.Head.1990__#01-26-30_01-27-34_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Bullet.in.the.Head.1990__#01-45-21_01-46-20_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Bullet.in.the.Head.1990__#02-02-00_02-05-22_label_B2-B6-G__0.npy,B2-B6-G
/home/xbgydx/Desktop/XDTestClipFeatures/Casino.Royale.2006__#00-18-30_00-19-20_label_G-B2-0__0.npy,G-B2-0
/home/xbgydx/Desktop/XDTestClipFeatures/Casino.Royale.2006__#00-50-05_00-51-16_label_B1-B2-B6__0.npy,B1-B2-B6
/home/xbgydx/Desktop/XDTestClipFeatures/Casino.Royale.2006__#00-51-16_00-52-41_label_B1-B6-0__0.npy,B1-B6-0
/home/xbgydx/Desktop/XDTestClipFeatures/Casino.Royale.2006__#01-17-29_01-17-46_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Casino.Royale.2006__#01-46-40_01-47-14_label_B6-0-0__0.npy,B6-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/City.Of.Men.2007__#00-51-50_00-53-31_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/City.Of.Men.2007__#00-57-37_00-58-27_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/City.Of.Men.2007__#01-17-27_01-17-59_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/City.Of.Men.2007__#01-35-30_01-36-00_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/City.of.God.2002__#00-37-20_00-38-02_label_B5-0-0__0.npy,B5-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/City.of.God.2002__#00-40-16_00-41-30_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/City.of.God.2002__#01-24-10_01-25-10_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/City.of.God.2002__#01-52-20_01-54-32_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Crank.Dircut.2006__#0-27-42_0-29-01_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Deadpool.2.2018__#0-04-46_0-05-01_label_B2-0-0__0.npy,B2-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Deadpool.2.2018__#0-50-30_0-51-20_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Deadpool.2.2018__#01-03-09_01-03-54_label_B4-0-0__0.npy,B4-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Deadpool.2016__#0-18-58_0-19-20_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Death.Proof.2007__#00-45-05_00-47-36_label_B5-0-0__0.npy,B5-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Death.Proof.2007__#01-40-41_01-42-17_label_B5-B6-0__0.npy,B5-B6-0
/home/xbgydx/Desktop/XDTestClipFeatures/Desperado.1995__#00-16-48_00-18-52_label_B1-0-0__0.npy,B1-0-0
/home/xbgydx/Desktop/XDTestClipFeatures/Desperado.1995__#00-38-36_00-39-21_label_B1-B2-0__0.npy,B1-B2-0
